year,month,Average_Asset,Average_Net_worth,Surplus_before_tax,ROA,ROE
89,12,201022,15616,968,0.48,6.2
90,12,212580,15977,576,0.27,3.6
91,12,219189,15096,-1046,-0.48,-6.93
92,12,229190,14324,505,0.22,3.52
93,1,239212,14449,156,0.07,1.08
93,2,241028,14546,321,0.13,2.21
93,3,242465,14634,491,0.2,3.36
93,4,243160,14570,534,0.22,3.67
93,5,243161,14567,675,0.28,4.64
93,6,242495,14671,844,0.35,5.75
93,7,243072,14742,1106,0.45,7.5
93,8,241959,14740,1093,0.45,7.42
93,9,242396,14901,1272,0.52,8.54
93,10,243325,14965,1419,0.58,9.48
93,11,244013,15061,1592,0.65,10.57
93,12,246230,15082,1553,0.63,10.3
94,1,254065,15802,156,0.06,0.98
94,2,254453,15858,300,0.12,1.89
94,3,254726,16190,466,0.18,2.88
94,4,255250,16102,618,0.24,3.84
94,5,255246,16143,767,0.3,4.75
94,6,256575,16197,839,0.33,5.18
94,7,257269,16300,965,0.38,5.92
94,8,257618,16367,1118,0.43,6.83
94,9,257820,16380,1232,0.48,7.52
94,10,258080,16641,1340,0.52,8.05
94,11,259024,16578,1224,0.47,7.38
94,12,261903,16361,786,0.3,4.81
95,1,273251,17225,140,0.05,0.82
95,2,271532,17207,269,0.1,1.56
95,3,269933,17194,294,0.11,1.71
95,4,271699,17211,336,0.12,1.95
95,5,269226,17010,355,0.13,2.09
95,6,268338,16954,360,0.13,2.12
95,7,267366,16911,286,0.11,1.69
95,8,267466,17001,361,0.14,2.12
95,9,270345,16989,349,0.13,2.06
95,10,267911,17039,309,0.12,1.81
95,11,269278,17078,319,0.12,1.87
95,12,272086,17063,-74,-0.03,-0.43
96,1,273717,17141,82,0.03,0.48
96,2,274731,17166,139,0.05,0.81
96,3,273074,17116,-45,-0.02,-0.27
96,4,274827,17030,52,0.02,0.31
96,5,274614,16939,173,0.06,1.02
96,6,275777,17103,322,0.12,1.88
96,7,275460,17232,476,0.17,2.76
96,8,274476,17049,185,0.07,1.09
96,9,275609,17232,279,0.1,1.62
96,10,275531,17271,361,0.13,2.09
96,11,275500,17246,641,0.23,3.72
96,12,276825,17550,388,0.14,2.21
97,1,278102,17946,64,0.02,0.36
97,2,280975,18033,168,0.06,0.93
97,3,279970,18205,271,0.1,1.49
97,4,279969,18225,359,0.13,1.97
97,5,280626,18346,504,0.18,2.75
97,6,278317,18163,547,0.2,3.01
97,7,279001,18146,596,0.21,3.28
97,8,279716,18193,708,0.25,3.89
97,9,281587,18034,594,0.21,3.3
97,10,283193,17911,658,0.23,3.67
97,11,283368,17949,646,0.23,3.6
97,12,283461,17964,444,0.16,2.47
98,1,289713,17990,82,0.03,0.45
98,2,290762,18030,125,0.04,0.69
98,3,290220,18084,189,0.07,1.05
98,4,291892,18064,216,0.07,1.19
98,5,294638,18141,273,0.09,1.5
98,6,292800,18110,369,0.13,2.04
